@timestamp,requestId,functionArn,executionTime
2024-08-08 18:25:57.428,2a871e13-7bdd-501d-b114-413c743c920e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,826.094676ms
2024-08-08 18:25:57.429,,,
2024-08-08 18:25:57.449,,,
2024-08-08 18:25:58.374,,,
2024-08-08 18:25:58.374,c9fb88ac-815f-5146-998c-d7838eab85f0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.603558296s
2024-08-08 18:25:58.375,,,
2024-08-08 18:25:59.072,,,
2024-08-08 18:25:59.072,444ea810-2536-5796-a09d-f73f2ac2f559,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.619061134s
2024-08-08 18:25:59.072,,,
2024-08-08 18:26:12.219,,,
2024-08-08 18:26:12.237,,,
2024-08-08 18:26:12.266,,,
2024-08-08 18:26:12.433,,,
2024-08-08 18:26:12.435,,,
2024-08-08 18:26:12.437,,,
2024-08-08 18:26:12.986,,,
2024-08-08 18:26:12.986,4451e16f-868b-5ed5-9310-be40897edd4d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,718.955424ms
2024-08-08 18:26:12.987,,,
2024-08-08 18:26:13.015,,,
2024-08-08 18:26:13.063,,,
2024-08-08 18:26:13.063,861c5b86-361f-59cd-844b-04a939e71bde,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,842.253898ms
2024-08-08 18:26:13.064,,,
2024-08-08 18:26:13.080,,,
2024-08-08 18:26:13.084,,,
2024-08-08 18:26:13.084,93043f2b-880c-546e-804e-600487fb90d8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,844.308551ms
2024-08-08 18:26:13.085,,,
2024-08-08 18:26:13.264,,,
2024-08-08 18:26:13.264,443769c8-69b3-56e4-9bbe-36e766464289,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,825.766322ms
2024-08-08 18:26:13.265,,,
2024-08-08 18:26:13.274,,,
2024-08-08 18:26:13.274,5e84d27a-af74-56f8-954a-8d55a0818ed5,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,838.635897ms
2024-08-08 18:26:13.275,,,
2024-08-08 18:26:13.286,,,
2024-08-08 18:26:13.296,,,
2024-08-08 18:26:13.724,,,
2024-08-08 18:26:13.724,62ccc379-f021-5539-a37a-9c56ffd43029,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,707.07192ms
2024-08-08 18:26:13.725,,,
2024-08-08 18:26:13.748,,,
2024-08-08 18:26:13.891,,,
2024-08-08 18:26:13.891,3d522e9b-476d-52b3-ab7a-71b448986a07,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.450978193s
2024-08-08 18:26:13.892,,,
2024-08-08 18:26:14.092,,,
2024-08-08 18:26:14.481,,,
2024-08-08 18:26:14.481,412953f6-a4f1-5f16-ba8c-0cd9ab071c59,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,730.329021ms
2024-08-08 18:26:14.482,,,
2024-08-08 18:26:14.680,,,
2024-08-08 18:26:14.756,,,
